time,follower_x,follower_y,follower_z,tag_x,tag_y,tag_z,set_x,set_y,set_z,distance
0.072,0.48186054825782776,3.4489171504974365,-1.3132319450378418,4.202015399932861,3.279191017150879,0.38106629252433777,0,0,1.2,3.7240245811194725
0.171,0.4586080014705658,3.4506325721740723,-1.3210501670837402,4.205343723297119,3.2713468074798584,0.3831648528575897,0,0,1.2,3.7510227878050983
0.275,0.45312222838401794,3.4518630504608154,-1.3944647312164307,4.21220588684082,3.2832558155059814,0.36301466822624207,0,0,1.2,3.762863052378613
0.374,0.4555055499076843,3.452845811843872,-1.3966785669326782,4.215950965881348,3.278778076171875,0.3766416609287262,0,0,1.2,3.7644719819809143
0.478,0.4687312841415405,3.458393096923828,-1.3748036623001099,4.214976787567139,3.28073787689209,0.3853147327899933,0,0,1.2,3.750455538883382
0.572,0.4782813489437103,3.445371389389038,-1.385957956314087,4.219367027282715,3.2807860374450684,0.4008602499961853,0,0,1.2,3.7447043128593918
0.681,0.4819212257862091,3.447713851928711,-1.358825922012329,4.212497234344482,3.269993305206299,0.421170175075531,0,0,1.2,3.7348068153999465
0.807,0.4917474389076233,3.4406449794769287,-1.2915219068527222,4.215681076049805,3.2711985111236572,0.41869738698005676,0,0,1.2,3.7277867212967526
0.872,0.4949219524860382,3.467334508895874,-1.29618239402771,4.2118239402771,3.267418384552002,0.425536185503006,0,0,1.2,3.722274418096793
0.972,0.5200629234313965,3.487091064453125,-1.2728476524353027,4.217120170593262,3.2675538063049316,0.42010757327079773,0,0,1.2,3.703569750457968
1.072,0.545371413230896,3.4916746616363525,-1.2516918182373047,4.2117462158203125,3.274104356765747,0.43267831206321716,0,0,1.2,3.6728246664691295
1.176,0.562439501285553,3.4902350902557373,-1.2205431461334229,4.2134504318237305,3.2612369060516357,0.4429357945919037,0,0,1.2,3.658185476883044
1.272,0.5718356966972351,3.4940099716186523,-1.1748929023742676,4.2033491134643555,3.2522666454315186,0.4619336426258087,0,0,1.2,3.6395507321530256
1.393,0.5734795928001404,3.4933042526245117,-1.1266453266143799,4.199127197265625,3.2473502159118652,0.4731847047805786,0,0,1.2,3.633980453984522
1.489,0.5623682141304016,3.4776611328125,-1.1116364002227783,4.196672439575195,3.2391622066497803,0.4787130057811737,0,0,1.2,3.6421214890317226
1.573,0.5220999717712402,3.4585721492767334,-1.0463124513626099,4.187514781951904,3.242844581604004,0.4875100553035736,0,0,1.2,3.6717576328164343
