time,cf231_x,cf231_y,cf231_z,cf231_ex,cf231_ey,cf231_ez,cf2_x,cf2_y,cf2_z,cf2_ex,cf2_ey,cf2_ez,separation_xy,separation_3d
0.014,1.8901032209396362,2.3106861114501953,-0.06941501051187515,0.0,0.0,0.7,0.9579341411590576,3.596783399581909,0.4651390612125397,0.0,0.0,1.0,1.5883908296885623,1.6759276486280277
0.056,1.895006537437439,2.3201873302459717,-0.060965608805418015,0.0,0.0,0.7,0.9579341411590576,3.596783399581909,0.4651390612125397,0.0,0.0,1.0,1.583604180378062,1.6687085796883703
0.092,1.895006537437439,2.3201873302459717,-0.060965608805418015,0.0,0.0,0.7,0.9328423738479614,3.5824263095855713,0.500591516494751,0.0,0.0,1.0,1.58713802760192,1.6835538374627355
0.161,1.8881275653839111,2.322267532348633,-0.06175314635038376,0.0,0.0,0.7,0.9328423738479614,3.5824263095855713,0.500591516494751,0.0,0.0,1.0,1.581319050987236,1.6783329409999614
0.204,1.8881275653839111,2.322267532348633,-0.06175314635038376,0.0,0.0,0.7,0.9538934826850891,3.572406530380249,0.511806309223175,0.0,0.0,1.0,1.560653976919805,1.6627120270069138
0.284,1.882326602935791,2.3231894969940186,-0.06421512365341187,0.0,0.0,0.7,0.9538934826850891,3.572406530380249,0.511806309223175,0.0,0.0,1.0,1.55644828223772,1.6596180121985737
0.335,1.882326602935791,2.3231894969940186,-0.06421512365341187,0.0,0.0,0.7,0.8979176878929138,3.5768516063690186,0.5665181279182434,0.0,0.0,1.0,1.59396662339538,1.7142211150072275
0.412,1.882326602935791,2.3231894969940186,-0.06421512365341187,0.0,0.0,0.7,0.9497161507606506,3.6126739978790283,0.5063125491142273,0.0,0.0,1.0,1.5913932680293021,1.6905721986719884
0.53,1.882326602935791,2.3231894969940186,-0.06421512365341187,0.0,0.0,0.7,0.952320396900177,3.6304731369018555,0.5446868538856506,0.0,0.0,1.0,1.6043385111738233,1.716002236795285
0.547,1.8858987092971802,2.321577310562134,-0.085365891456604,0.0,0.0,0.7,0.952320396900177,3.6304731369018555,0.5446868538856506,0.0,0.0,1.0,1.607724090006609,1.7267724840003942
0.554,1.9015284776687622,2.323643445968628,-0.09394627064466476,0.0,0.0,0.7,0.952320396900177,3.6304731369018555,0.5446868538856506,0.0,0.0,1.0,1.6151779535707562,1.7368511995701787
0.561,1.8951833248138428,2.333757162094116,-0.07983016967773438,0.0,0.0,0.7,0.952320396900177,3.6304731369018555,0.5446868538856506,0.0,0.0,1.0,1.6032662973303955,1.7206058040341448
0.602,1.8951833248138428,2.333757162094116,-0.07983016967773438,0.0,0.0,0.7,0.9297753572463989,3.659085750579834,0.5233553647994995,0.0,0.0,1.0,1.6396671647929795,1.7470950747749345
0.656,1.8916382789611816,2.3348803520202637,-0.07033133506774902,0.0,0.0,0.7,0.9297753572463989,3.659085750579834,0.5233553647994995,0.0,0.0,1.0,1.6366735220391417,1.7410238698373073
0.7,1.8916382789611816,2.3348803520202637,-0.07033133506774902,0.0,0.0,0.7,0.970201849937439,3.6409666538238525,0.5189254879951477,0.0,0.0,1.0,1.5984074951310139,1.703563947733451
0.754,1.8929089307785034,2.341618061065674,-0.061477918177843094,0.0,0.0,0.7,0.970201849937439,3.6409666538238525,0.5189254879951477,0.0,0.0,1.0,1.5936420936135247,1.6960434064121437
0.802,1.8929089307785034,2.341618061065674,-0.061477918177843094,0.0,0.0,0.7,1.0340676307678223,3.6580734252929688,0.43263551592826843,0.0,0.0,1.0,1.5718343120719998,1.6476684103213823
0.872,1.8812885284423828,2.338012456893921,-0.05963004380464554,0.0,0.0,0.7,1.0340676307678223,3.6580734252929688,0.43263551592826843,0.0,0.0,1.0,1.568548440357237,1.643979802505578
0.893,1.8812885284423828,2.338012456893921,-0.05963004380464554,0.0,0.0,0.7,1.1336058378219604,3.7011234760284424,0.28599822521209717,0.0,0.0,1.0,1.5547028836209664,1.5926581418128807
