time,actual_x,actual_y,actual_z,expected_x,expected_y,expected_z
0.023,1.5,2.0,0.0145,0.0,0.0,0.6
0.073,1.5,2.0,0.0145,0.0,0.0,0.6
0.123,1.5,2.0,0.0145,0.0,0.0,0.6
0.173,1.5,2.0,0.0145,0.0,0.0,0.6
0.223,1.5,2.0,0.0145,0.0,0.0,0.6
0.273,1.5,2.0,0.0145,0.0,0.0,0.6
0.323,1.5,2.0,0.0145,0.0,0.0,0.6
0.373,1.5,2.0,0.0145,0.0,0.0,0.6
0.423,1.5,2.0,0.0145,0.0,0.0,0.6
0.473,1.5,2.0,0.0145,0.0,0.0,0.6
0.523,1.5,2.0,0.0145,0.0,0.0,0.6
0.573,1.5,2.0,0.0145,0.0,0.0,0.6
0.623,1.5,2.0,0.0145,0.0,0.0,0.6
0.674,1.5,2.0,0.0145,0.0,0.0,0.6
0.723,1.5,2.0,0.0145,0.0,0.0,0.6
0.773,1.5,2.0,0.0145,0.0,0.0,0.6
0.823,1.5,2.0,0.0145,0.0,0.0,0.6
0.874,1.5,2.0,0.0145,0.0,0.0,0.6
0.924,1.5,2.0,0.0145000558376335,1.5,2.0,0.6
0.974,1.5,2.0,0.0145000558376335,1.5,2.0,0.6
1.024,1.5,2.0,0.0145000558376335,1.5,2.0,0.6
1.074,1.5,2.0,0.0145000558376335,1.5,2.0,0.6
1.123,1.5,2.0,0.0145000558376335,1.5,2.0,0.6
1.173,1.5,2.0,0.0145000558376335,1.5,2.0,0.6
1.223,1.5,2.0,0.08858017922698593,1.5,2.0,0.6
1.274,1.5,2.0,0.08858017922698593,1.5,2.0,0.6
1.323,1.5,2.0,0.08858017922698593,1.5,2.0,0.6
1.373,1.5,2.0,0.08858017922698593,1.5,2.0,0.6
1.423,1.5,2.0,0.08858017922698593,1.5,2.0,0.6
1.473,1.5,2.0,0.08858017922698593,1.5,2.0,0.6
1.523,1.5,2.0,0.08858017922698593,1.5,2.0,0.6
1.573,1.5,2.0,0.16536591514754803,1.5,2.0,0.6
1.623,1.5,2.0,0.16536591514754803,1.5,2.0,0.6
1.673,1.5,2.0,0.16536591514754803,1.5,2.0,0.6
1.723,1.5,2.0,0.16536591514754803,1.5,2.0,0.6
1.773,1.5,2.0,0.16536591514754803,1.5,2.0,0.6
1.823,1.5,2.0,0.16536591514754803,1.5,2.0,0.6
1.873,1.5,2.0,0.24150845736783141,1.5,2.0,0.6
1.923,1.5,2.0,0.24150845736783141,1.5,2.0,0.6
1.973,1.5,2.0,0.24150845736783141,1.5,2.0,0.6
2.023,1.5,2.0,0.24150845736783141,1.5,2.0,0.6
2.073,1.5,2.0,0.24150845736783141,1.5,2.0,0.6
2.123,1.5,2.0,0.24150845736783141,1.5,2.0,0.6
2.173,1.5,2.0,0.24150845736783141,1.5,2.0,0.6
2.224,1.5,2.0,0.31893442759409674,1.5,2.0,0.6
2.273,1.5,2.0,0.31893442759409674,1.5,2.0,0.6
2.323,1.5,2.0,0.31893442759409674,1.5,2.0,0.6
2.374,1.5,2.0,0.31893442759409674,1.5,2.0,0.6
2.423,1.5,2.0,0.31893442759409674,1.5,2.0,0.6
2.473,1.5,2.0,0.31893442759409674,1.5,2.0,0.6
2.523,1.5,2.0,0.31893442759409674,1.5,2.0,0.6
2.573,1.5,2.0,0.3959881283178221,1.5,2.0,0.6
2.623,1.5,2.0,0.3959881283178221,1.5,2.0,0.6
2.673,1.5,2.0,0.3959881283178221,1.5,2.0,0.6
2.723,1.5,2.0,0.3959881283178221,1.5,2.0,0.6
2.773,1.5,2.0,0.3959881283178221,1.5,2.0,0.6
2.823,1.5,2.0,0.3959881283178221,1.5,2.0,0.6
2.873,1.5,2.0,0.47382081986649655,1.5,2.0,0.6
2.923,1.5,2.0,0.47382081986649655,1.5,2.0,0.6
2.973,1.5,2.0,0.47382081986649655,1.5,2.0,0.6
3.023,1.5,2.0,0.47382081986649655,1.5,2.0,0.6
3.073,1.5,2.0,0.47382081986649655,1.5,2.0,0.6
3.123,1.5,2.0,0.47382081986649655,1.5,2.0,0.6
3.174,1.5,2.0,0.47382081986649655,1.5,2.0,0.6
3.224,1.5,2.0,0.5541480018541196,1.5,2.0,0.6
3.274,1.5,2.0,0.5541480018541196,1.5,2.0,0.6
