time,actual_x,actual_y,actual_z,expected_x,expected_y,expected_z
0.032,0.05,1.05,0.0145,0.0,0.0,0.6
0.082,0.05,1.05,0.0145,0.0,0.0,0.6
0.132,0.05,1.05,0.0145,0.0,0.0,0.6
0.182,0.05,1.05,0.0145,0.0,0.0,0.6
0.232,0.05,1.05,0.0145,0.0,0.0,0.6
0.282,0.05,1.05,0.0145,0.0,0.0,0.6
0.332,0.05,1.05,0.0145,0.0,0.0,0.6
0.382,0.05,1.05,0.0145,0.0,0.0,0.6
0.432,0.05,1.05,0.0145,0.0,0.0,0.6
0.482,0.05,1.05,0.0145,0.0,0.0,0.6
0.532,0.05,1.05,0.0145,0.0,0.0,0.6
0.582,0.05,1.05,0.0145,0.0,0.0,0.6
0.632,0.05,1.05,0.0145,0.0,0.0,0.6
0.682,0.05,1.05,0.0145,0.0,0.0,0.6
0.732,0.05,1.05,0.0145,0.0,0.0,0.6
0.782,0.05,1.05,0.0145,0.0,0.0,0.6
0.832,0.05,1.05,0.0145,0.0,0.0,0.6
0.882,0.05,1.05,0.0145,0.0,0.0,0.6
0.932,0.05,1.05,0.0145000558376335,0.05,1.05,0.6
0.982,0.05,1.05,0.0145000558376335,0.05,1.05,0.6
1.032,0.05,1.05,0.0145000558376335,0.05,1.05,0.6
1.082,0.05,1.05,0.0145000558376335,0.05,1.05,0.6
1.132,0.05,1.05,0.0145000558376335,0.05,1.05,0.6
1.183,0.05,1.05,0.0145000558376335,0.05,1.05,0.6
1.232,0.05,1.05,0.0145000558376335,0.05,1.05,0.6
1.282,0.05,1.05,0.09257854464897192,0.05,1.05,0.6
1.332,0.05,1.05,0.09257854464897192,0.05,1.05,0.6
1.382,0.05,1.05,0.09257854464897192,0.05,1.05,0.6
1.432,0.05,1.05,0.09257854464897192,0.05,1.05,0.6
1.482,0.05,1.05,0.09257854464897192,0.05,1.05,0.6
1.532,0.05,1.05,0.09257854464897192,0.05,1.05,0.6
1.582,0.05,1.05,0.09257854464897192,0.05,1.05,0.6
