time,actual_x,actual_y,actual_z,expected_x,expected_y,expected_z
0.007,1.5,2.0,0.1,1.5,2.0,0.5
0.057,1.5,2.0,0.1,1.5,2.0,0.5
0.107,1.5,2.0,0.1,1.5,2.0,0.5
0.157,1.5,2.0,0.1,1.5,2.0,0.5
0.207,1.5,2.0,0.1,1.5,2.0,0.5
0.257,1.5,2.0,0.1,1.5,2.0,0.5
0.307,1.5,2.0,0.10000011444091797,1.5,2.0,0.5
0.357,1.5,2.0,0.10000011444091797,1.5,2.0,0.5
0.407,1.5,2.0,0.10000011444091797,1.5,2.0,0.5
0.457,1.5,2.0,0.10000011444091797,1.5,2.0,0.5
0.507,1.5,2.0,0.10000011444091797,1.5,2.0,0.5
0.557,1.5,2.0,0.10000011444091797,1.5,2.0,0.5
0.607,1.5,2.0,0.10000011444091797,1.5,2.0,0.5
0.657,1.5,2.0,0.15616382598876954,1.5,2.0,0.5
0.707,1.5,2.0,0.15616382598876954,1.5,2.0,0.5
0.757,1.5,2.0,0.15616382598876954,1.5,2.0,0.5
0.807,1.5,2.0,0.15616382598876954,1.5,2.0,0.5
0.857,1.5,2.0,0.15616382598876954,1.5,2.0,0.5
0.907,1.5,2.0,0.15616382598876954,1.5,2.0,0.5
0.958,1.5,2.0,0.15616382598876954,1.5,2.0,0.5
1.007,1.5,2.0,0.21160350799560548,1.5,2.0,0.5
1.057,1.5,2.0,0.21160350799560548,1.5,2.0,0.5
1.108,1.5,2.0,0.21160350799560548,1.5,2.0,0.5
1.157,1.5,2.0,0.21160350799560548,1.5,2.0,0.5
1.207,1.5,2.0,0.21160350799560548,1.5,2.0,0.5
1.257,1.5,2.0,0.21160350799560548,1.5,2.0,0.5
1.307,1.5,2.0,0.21160350799560548,1.5,2.0,0.5
1.357,1.5,2.0,0.21160350799560548,1.5,2.0,0.5
1.407,1.5,2.0,0.2720262908935547,1.5,2.0,0.5
1.457,1.5,2.0,0.2720262908935547,1.5,2.0,0.5
1.507,1.5,2.0,0.2720262908935547,1.5,2.0,0.5
1.557,1.5,2.0,0.2720262908935547,1.5,2.0,0.5
1.606,1.5,2.0,0.2720262908935547,1.5,2.0,0.5
1.657,1.5,2.0,0.2720262908935547,1.5,2.0,0.5
1.706,1.5,2.0,0.2720262908935547,1.5,2.0,0.5
1.757,1.5,2.0,0.32993125915527344,1.5,2.0,0.5
1.807,1.5,2.0,0.32993125915527344,1.5,2.0,0.5
1.857,1.5,2.0,0.32993125915527344,1.5,2.0,0.5
1.907,1.5,2.0,0.32993125915527344,1.5,2.0,0.5
1.957,1.5,2.0,0.32993125915527344,1.5,2.0,0.5
2.007,1.5,2.0,0.32993125915527344,1.5,2.0,0.5
2.057,1.5,2.0,0.32993125915527344,1.5,2.0,0.5
2.107,1.5,2.0,0.3860224151611328,1.5,2.0,0.5
2.158,1.5,2.0,0.3860224151611328,1.5,2.0,0.5
2.207,1.5,2.0,0.3860224151611328,1.5,2.0,0.5
2.257,1.5,2.0,0.3860224151611328,1.5,2.0,0.5
2.307,1.5,2.0,0.3860224151611328,1.5,2.0,0.5
2.357,1.5,2.0,0.3860224151611328,1.5,2.0,0.5
2.407,1.5,2.0,0.3860224151611328,1.5,2.0,0.5
2.457,1.5,2.0,0.4426714324951172,1.5,2.0,0.5
2.507,1.5,2.0,0.4426714324951172,1.5,2.0,0.5
2.557,1.5,2.0,0.4426714324951172,1.5,2.0,0.5
2.607,1.5,2.0,0.4426714324951172,1.5,2.0,0.5
2.657,1.5,2.0,0.4426714324951172,1.5,2.0,0.5
2.706,1.5,2.0,0.4426714324951172,1.5,2.0,0.5
2.757,1.5,2.0,0.4426714324951172,1.5,2.0,0.5
2.807,1.5,2.0,0.4988935470581055,1.5,2.0,0.5
2.857,1.5,2.0,0.4988935470581055,1.5,2.0,0.5
2.907,1.5,2.0,0.4988935470581055,1.5,2.0,0.5
2.957,1.5,2.0,0.4988935470581055,1.5,2.0,0.5
3.007,1.5,2.0,0.4988935470581055,1.5,2.0,0.5
3.057,1.5,2.0,0.4988935470581055,1.5,2.0,0.5
3.107,1.5,2.0,0.4988935470581055,1.5,2.0,0.5
3.157,1.5,2.0,0.5,1.5,2.0,0.5
3.207,1.5,2.0,0.5,1.5,2.0,0.5
3.256,1.5,2.0,0.5,1.5,2.0,0.5
3.307,1.5,2.0,0.5,1.5,2.0,0.5
3.356,1.5,2.0,0.5,1.5,2.0,0.5
3.407,1.5,2.0,0.5,1.5,2.0,0.5
3.456,1.5,2.0,0.5,1.5,2.0,0.5
3.507,1.5,2.0,0.5,1.5,2.0,0.5
3.557,1.5,2.0,0.5,1.5,2.0,0.5
3.607,1.5,2.0,0.5,1.5,2.0,0.5
3.657,1.5,2.0,0.5,1.5,2.0,0.5
3.707,1.5,2.0,0.5,1.5,2.0,0.5
3.757,1.5,2.0,0.5,1.5,2.0,0.5
3.807,1.5,2.0,0.5,1.5,2.0,0.5
3.857,1.5,2.0,0.5,1.5,2.0,0.5
3.907,1.5,2.0,0.5,1.5,2.0,0.5
3.957,1.5,2.0,0.5,1.5,2.0,0.5
4.007,1.5,2.0,0.5,1.5,2.0,0.5
4.056,1.5,2.0,0.5,1.5,2.0,0.5
4.107,1.5,2.0,0.5,1.5,2.0,0.5
4.157,1.5,2.0,0.5,1.5,2.0,0.5
4.207,1.5,2.0,0.5,1.5,2.0,0.5
4.257,1.5,2.0,0.5,1.5,2.0,0.5
4.307,1.5,2.0,0.5,1.5,2.0,0.5
4.357,1.5,2.0,0.5,1.5,2.0,0.5
4.407,1.5,2.0,0.5,1.5,2.0,0.5
4.457,1.5,2.0,0.5,1.5,2.0,0.5
4.507,1.5,2.0,0.5,1.5,2.0,0.5
4.557,1.5,2.0,0.5,1.5,2.0,0.5
4.607,1.5,2.0,0.5,1.5,2.0,0.5
4.657,1.5,2.0,0.5,1.5,2.0,0.5
4.707,1.5,2.0,0.5,1.5,2.0,0.5
4.757,1.5,2.0,0.5,1.5,2.0,0.5
4.807,1.5,2.0,0.5,1.5,2.0,0.5
4.856,1.5,2.0,0.5,1.5,2.0,0.5
4.907,1.5,2.0,0.5,1.5,2.0,0.5
4.956,1.5,2.0,0.5,1.5,2.0,0.5
5.007,1.5,2.0,0.5,1.5,2.0,0.5
5.056,1.5,2.0,0.5,1.5,2.0,0.5
5.107,1.5,2.0,0.5,1.5,2.0,0.5
5.161,1.5,2.0,0.5,1.5,2.0,0.5
5.207,1.5,2.0,0.5,1.5,2.0,0.5
5.257,1.5,2.0,0.5,1.5,2.0,0.5
5.307,1.5,2.0,0.5,1.5,2.0,0.5
5.357,1.5,2.0,0.5,1.5,2.0,0.5
5.407,1.5,2.0,0.5,1.5,2.0,0.5
5.457,1.5,2.0,0.5,1.5,2.0,0.5
5.507,1.5,2.0,0.5,1.5,2.0,0.5
5.557,1.5,2.0,0.5,1.5,2.0,0.5
5.607,1.5,2.0,0.5,1.5,2.0,0.5
5.657,1.5,2.0,0.5,1.5,2.0,0.5
5.707,1.5,2.0,0.5,1.5,2.0,0.5
5.756,1.5,2.0,0.5,1.5,2.0,0.5
5.807,1.5,2.0,0.5,1.5,2.0,0.5
5.856,1.5,2.0,0.5,1.5,2.0,0.5
5.907,1.5,2.0,0.5,1.5,2.0,0.5
5.956,1.5,2.0,0.5,1.5,2.0,0.5
6.007,1.5,2.0,0.5,1.5,2.0,0.5
6.056,1.5,2.0,0.5,1.5,2.0,0.5
6.109,1.5,2.0,0.5,1.5,2.0,0.5
6.157,1.5,2.0,0.5,1.5,2.0,0.5
6.206,1.5,2.0,0.5,1.5,2.0,0.5
6.257,1.5,2.0,0.5,1.5,2.0,0.5
6.307,1.5,2.0,0.5,1.5,2.0,0.5
6.357,1.5,2.0,0.5,1.5,2.0,0.5
6.406,1.5,2.0,0.5,1.5,2.0,0.5
6.457,1.5,2.0,0.5,1.5,2.0,0.5
6.506,1.5,2.0,0.5,1.5,2.0,0.5
6.557,1.5,2.0,0.5,1.5,2.0,0.5
6.607,1.5,2.0,0.5,1.5,2.0,0.5
6.656,1.5,2.0,0.5,1.5,2.0,0.5
6.706,1.5,2.0,0.5,1.5,2.0,0.5
6.757,1.5,2.0,0.5,1.5,2.0,0.5
6.807,1.5,2.0,0.5,1.5,2.0,0.5
6.857,1.5,2.0,0.5,1.5,2.0,0.5
6.906,1.5,2.0,0.5,1.5,2.0,0.5
6.957,1.5,2.0,0.5,1.5,2.0,0.5
7.007,1.5,2.0,0.5,1.5,2.0,0.5
7.057,1.5,2.0,0.5,1.5,2.0,0.5
7.107,1.5,2.0,0.5,1.5,2.0,0.5
7.157,1.5,2.0,0.5,1.5,2.0,0.5
7.207,1.5,2.0,0.5,1.5,2.0,0.5
7.257,1.5,2.0,0.5,1.5,2.0,0.5
7.307,1.5,2.0,0.5,1.5,2.0,0.5
7.357,1.5,2.0,0.5,1.5,2.0,0.5
7.407,1.5,2.0,0.5,1.5,2.0,0.5
7.457,1.5,2.0,0.5,1.5,2.0,0.5
7.507,1.5,2.0,0.5,1.5,2.0,0.5
7.557,1.5,2.0,0.5,1.5,2.0,0.5
7.607,1.5,2.0,0.5,1.5,2.0,0.5
7.657,1.5,2.0,0.5,1.5,2.0,0.5
7.707,1.5,2.0,0.5,1.5,2.0,0.5
7.757,1.5,2.0,0.5,1.5,2.0,0.5
7.806,1.5,2.0,0.5,1.5,2.0,0.5
7.857,1.5,2.0,0.5,1.5,2.0,0.5
7.907,1.5,2.0,0.5,1.5,2.0,0.5
7.957,1.5,2.0,0.5,1.5,2.0,0.5
8.007,1.5,2.0,0.5,1.5,2.0,0.5
8.057,1.5,2.0,0.5,1.5,2.0,0.5
8.107,1.5,2.0,0.5,1.5,2.0,0.5
8.157,1.5,2.0,0.5,1.5,2.0,0.5
8.207,1.5,2.0,0.5,1.5,2.0,0.5
8.257,1.5,2.0,0.5,1.5,2.0,0.5
8.306,1.5,2.0,0.5,1.5,2.0,0.5
8.357,1.5,2.0,0.5,1.5,2.0,0.5
8.406,1.5,2.0,0.5,1.5,2.0,0.5
8.457,1.5,2.0,0.5,1.5,2.0,0.5
8.507,1.5,2.0,0.5,1.5,2.0,0.5
8.557,1.5,2.0,0.5,1.5,2.0,0.5
8.607,1.5,2.0,0.5,1.5,2.0,0.5
8.657,1.5,2.0,0.5,1.5,2.0,0.5
8.706,1.5,2.0,0.5,1.5,2.0,0.5
8.757,1.5,2.0,0.5,1.5,2.0,0.5
8.807,1.5,2.0,0.5,1.5,2.0,0.5
8.857,1.5,2.0,0.5,1.5,2.0,0.5
8.907,1.5,2.0,0.5,1.5,2.0,0.5
