time,actual_x,actual_y,actual_z,expected_x,expected_y,expected_z
0.035,1.5,2.0,0.0145,0.0,0.0,0.5
0.085,1.5,2.0,0.0145,0.0,0.0,0.5
0.135,1.5,2.0,0.0145,0.0,0.0,0.5
0.185,1.5,2.0,0.0145,0.0,0.0,0.5
0.235,1.5,2.0,0.0145,0.0,0.0,0.5
0.285,1.5,2.0,0.0145,0.0,0.0,0.5
0.335,1.5,2.0,0.014500138902664186,1.5,2.0,0.5
0.385,1.5,2.0,0.014500138902664186,1.5,2.0,0.5
0.435,1.5,2.0,0.014500138902664186,1.5,2.0,0.5
0.485,1.5,2.0,0.014500138902664186,1.5,2.0,0.5
0.535,1.5,2.0,0.014500138902664186,1.5,2.0,0.5
0.585,1.5,2.0,0.014500138902664186,1.5,2.0,0.5
0.635,1.5,2.0,0.014500138902664186,1.5,2.0,0.5
0.685,1.5,2.0,0.08663456115722656,1.5,2.0,0.5
0.735,1.5,2.0,0.08663456115722656,1.5,2.0,0.5
0.785,1.5,2.0,0.08663456115722656,1.5,2.0,0.5
0.835,1.5,2.0,0.08663456115722656,1.5,2.0,0.5
0.885,1.5,2.0,0.08663456115722656,1.5,2.0,0.5
0.935,1.5,2.0,0.08663456115722656,1.5,2.0,0.5
0.985,1.5,2.0,0.14709926128387452,1.5,2.0,0.5
1.035,1.5,2.0,0.14709926128387452,1.5,2.0,0.5
1.085,1.5,2.0,0.14709926128387452,1.5,2.0,0.5
1.135,1.5,2.0,0.14709926128387452,1.5,2.0,0.5
1.185,1.5,2.0,0.14709926128387452,1.5,2.0,0.5
1.235,1.5,2.0,0.14709926128387452,1.5,2.0,0.5
1.285,1.5,2.0,0.14709926128387452,1.5,2.0,0.5
1.335,1.5,2.0,0.20779356751441957,1.5,2.0,0.5
1.385,1.5,2.0,0.20779356751441957,1.5,2.0,0.5
1.435,1.5,2.0,0.20779356751441957,1.5,2.0,0.5
1.485,1.5,2.0,0.20779356751441957,1.5,2.0,0.5
1.535,1.5,2.0,0.20779356751441957,1.5,2.0,0.5
1.585,1.5,2.0,0.20779356751441957,1.5,2.0,0.5
1.635,1.5,2.0,0.26785031051635744,1.5,2.0,0.5
1.685,1.5,2.0,0.26785031051635744,1.5,2.0,0.5
1.735,1.5,2.0,0.26785031051635744,1.5,2.0,0.5
1.785,1.5,2.0,0.26785031051635744,1.5,2.0,0.5
1.835,1.5,2.0,0.26785031051635744,1.5,2.0,0.5
1.885,1.5,2.0,0.26785031051635744,1.5,2.0,0.5
1.935,1.5,2.0,0.3281597637653351,1.5,2.0,0.5
1.985,1.5,2.0,0.3281597637653351,1.5,2.0,0.5
2.035,1.5,2.0,0.3281597637653351,1.5,2.0,0.5
2.085,1.5,2.0,0.3281597637653351,1.5,2.0,0.5
2.135,1.5,2.0,0.3281597637653351,1.5,2.0,0.5
2.185,1.5,2.0,0.3281597637653351,1.5,2.0,0.5
2.235,1.5,2.0,0.3886646067619324,1.5,2.0,0.5
2.285,1.5,2.0,0.3886646067619324,1.5,2.0,0.5
2.335,1.5,2.0,0.3886646067619324,1.5,2.0,0.5
2.385,1.5,2.0,0.3886646067619324,1.5,2.0,0.5
2.435,1.5,2.0,0.3886646067619324,1.5,2.0,0.5
2.485,1.5,2.0,0.3886646067619324,1.5,2.0,0.5
2.535,1.5,2.0,0.3886646067619324,1.5,2.0,0.5
2.585,1.5,2.0,0.45016482625007626,1.5,2.0,0.5
2.635,1.5,2.0,0.45016482625007626,1.5,2.0,0.5
2.685,1.5,2.0,0.45016482625007626,1.5,2.0,0.5
2.735,1.5,2.0,0.45016482625007626,1.5,2.0,0.5
2.785,1.5,2.0,0.45016482625007626,1.5,2.0,0.5
2.835,1.5,2.0,0.45016482625007626,1.5,2.0,0.5
2.885,1.5,2.0,0.5,1.5,2.0,0.5
2.935,1.5,2.0,0.5,1.5,2.0,0.5
2.985,1.5,2.0,0.5,1.5,2.0,0.5
3.035,1.5,2.0,0.5,1.5,2.0,0.5
3.085,1.5,2.0,0.5,1.5,2.0,0.5
3.135,1.5,2.0,0.5,1.5,2.0,0.5
3.185,1.5,2.0,0.5,1.5,2.0,0.5
3.235,1.5,2.0,0.5,1.5,2.0,0.5
3.285,1.5,2.0,0.5,1.5,2.0,0.5
3.335,1.5,2.0,0.5,1.5,2.0,0.5
3.385,1.5,2.0,0.5,1.5,2.0,0.5
3.435,1.5,2.0,0.5,1.5,2.0,0.5
3.485,1.5,2.0,0.5,1.5,2.0,0.5
3.535,1.5,2.0,0.5,1.5,2.0,0.5
3.585,1.5,2.0,0.5,1.5,2.0,0.5
